id_lista,categoria,classe,geometria,nome_geografico,lat,long,uf
261,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Bola Sete,-4.56958,-47.4716,MA
262,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Bonança,-20.6768,-51.0307,SP
263,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Bonito,-20.3876,-51.1977,SP
264,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Borereo,-16.9318,-56.2285,MT
265,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Bosque,-9.28325,-51.7517,PA
266,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Brasília do Sul,-22.7005,-54.6079,MS
267,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Brinquinho,-12.8253,-46.2456,BA
268,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Brioso,-20.2377,-52.38,MS
269,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Buriti,-15.4624,-55.6171,MT
270,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Buritiz,-17.9187,-45.42,MG
271,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Busato 1,-12.8997,-45.4947,BA
272,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Cachoeira,-20.7584,-55.5714,MS
273,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Cachoeira,-14566,-57.7786,MT
274,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Cachoeira,-12.5924,-49.5332,TO
275,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Cachoeira 2,-17.3897,-45.0939,MG
276,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Cachoeira do Café,-11.2713,-45.6077,BA
277,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Cachoeirão,-21.5985,-53.2273,MS
278,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Cachoeira Preta,-20.0216,-53217,MS
279,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Cachoeirinha,-20.0485,-51.4764,MS
280,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Cacique,-20.7688,-52.7786,MS
281,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Calambi,-5.81578,-44.1329,MA
282,AER,pista_ponto_pouso,Linha,Aeródromo Fazenda Calcário Tangará,-14.7283,-57.8351,MT
